OSM_tag_name,OSM_tag_value,Element_icon ,Comment ,Useful_for_MapAction,Data Category description,Cat_value,Date Theme description,Theme_value,Conforms_to_MA_Hierarchy,OSM_Element ,Data type,pt,ln,py,rel
aerialway ,rope_tow ,Way ,Rope tow. A type of aerialway=drag_lift. This automatically implies oneway=yes. ,Y,Transport,tran,Aerialway,aew,#N/A,Way ,ln ,#N/A,ln,#N/A,#N/A
aerialway ,station ,Node Area ,"A station, where passengers can enter and/or leave the aerialway ",Y,Transport,tran,Aerialway,aew,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
aerialway ,t-bar ,Way ,T-bar lift. A type of aerialway=drag_lift. This automatically implies oneway=yes. ,Y,Transport,tran,Aerialway,aew,#N/A,Way ,ln ,#N/A,ln,#N/A,#N/A
aerialway ,user defined ,Node Way ,All commonly used values according to Taginfo ,Y,Transport,tran,Aerialway,aew,#N/A,Node Way ,pt ln ,pt,ln,#N/A,#N/A
aeroway ,aerodrome ,Node Area ,"An Aerodrome (UK), Airport (US) ",Y,Transport,tran,Airport / Airstrip,air,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
aeroway ,apron ,Area ,A place where planes are parked. ,Y,Transport,tran,Airport / Airstrip,air,#N/A,Area ,py ,#N/A,#N/A,py,#N/A
aeroway ,gate ,Node ,Used to mark the gate numbers at the airports. ,Y,Transport,tran,Airport / Airstrip,air,#N/A,Node ,pt ,pt,#N/A,#N/A,#N/A
aeroway ,helipad ,Node Area ,Helicopter start/landing pad ,Y,Transport,tran,Airport / Airstrip,air,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
aeroway ,hangar ,Node Area ,Large airport buildings for housing aircraft ,Y,Transport,tran,Airport / Airstrip,air,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
aeroway ,runway ,Way Area ,A strip of land kept clear and set aside for aeroplanes to take off from and land on. (Other languages) ,Y,Transport,tran,Airport / Airstrip,air,#N/A,Way Area ,ln py ,#N/A,ln,py,#N/A
aeroway ,taxiway ,Way ,Where airplanes manouevre between runways and parking areas. ,Y,Transport,tran,Airport / Airstrip,air,#N/A,Way ,ln ,#N/A,ln,#N/A,#N/A
aeroway ,terminal ,Node Area ,Airport passenger building ,Y,Transport,tran,Airport / Airstrip,air,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
aeroway ,windsock ,Node ,Used to mark the position of a windsock. ,Y,Transport,tran,Airport / Airstrip,air,#N/A,Node ,pt ,pt,#N/A,#N/A,#N/A
aeroway ,User defined ,Node Way ,All commonly used values according to Taginfo ,Y,Transport,tran,Airport / Airstrip,air,#N/A,Node Way ,pt ln ,pt,ln,#N/A,#N/A
amenity ,bar ,Mf node.png Mf area.png ,A place selling alcoholic drinks. See description of amenity=bar and amenity=pub for distinction between bar and pub ,Y,Points of Interest,pois,"Services, banks, post offices",ser,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,bbq ,Mf node.png ,"A public grill for cooking meat or vegetables, most typically to eat outdoors. Use fuel=* to specify source of heating. For campfires and firepits, use leisure=firepit ",Y,Points of Interest,pois,"Services, banks, post offices",ser,#N/A,Node ,pt ,pt,#N/A,#N/A,#N/A
amenity ,biergarten ,Mf node.png Mf area.png ,"An outdoor area in which beer, other drinks, and local food are served. ",Y,Points of Interest,pois,"Services, banks, post offices",ser,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,cafe ,Mf node.png Mf area.png ,A cafe. The kind of food served can be tagged with cuisine=* and diet=*. ,Y,Points of Interest,pois,"Services, banks, post offices",ser,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,drinking_water ,Mf node.png ,A place to obtain potable water to drink. ,Y,Water Sanitation and Hygiene,wash,Water and sanitation,wes,#N/A,Node ,pt ,pt,#N/A,#N/A,#N/A
amenity ,fast_food ,Mf node.png Mf area.png ,Fast food restaurant (see also amenity=restaurant). The kind of food served can be tagged with cuisine=* and diet=*. ,Y,Points of Interest,pois,"Services, banks, post offices",ser,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,food_court ,Mf node.png Mf area.png ,"An area with several different restaurant food counters and a shared eating area. Commonly found in malls, airports, etc. ",Y,Points of Interest,pois,"Services, banks, post offices",ser,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,ice_cream ,Mf node.png Mf area.png ,Ice cream shop or ice cream parlour. A place that sells ice cream and frozen yoghurt over the counter ,Y,Points of Interest,pois,"Services, banks, post offices",ser,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,pub ,Mf node.png Mf area.png ,A place selling beer and other alcoholic drinks; may also provide food or accommodation (UK). See description of amenity=bar and amenity=pub for distinction between bar and pub ,Y,Points of Interest,pois,"Services, banks, post offices",ser,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,restaurant ,Mf node.png Mf area.png ,"Restaurant (not fast food, see amenity=fast_food). The kind of food served can be tagged with cuisine=* and diet=*. ",Y,Points of Interest,pois,"Services, banks, post offices",ser,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,college ,Mf node.png Mf area.png ,A college campus or buildings ,Y,Education,educ,School,edu,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,kindergarten ,Mf node.png Mf area.png ,For children too young for a regular school (also known as playschool or nursery school). ,Y,Education,educ,School,edu,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,library ,Mf node.png Mf area.png ,"A public library (municipal, university, …) to borrow books from. ",Y,LandUse,land,Buildings,bld,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,school ,Mf node.png Mf area.png ,School and grounds ,Y,Education,educ,School,edu,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,university ,Mf node.png Mf area.png ,A university campus ,Y,Education,educ,School,edu,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,bicycle_parking ,Mf node.png Mf area.png ,Parking for bicycles ,N,Points of Interest,pois,Leisure,les,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,bicycle_rental ,Mf node.png Mf area.png ,Rent a bicycle ,N,Points of Interest,pois,Leisure,les,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,bus_station ,Mf node.png Mf area.png ,Has been replaced by public_transport=station. ,Y,Transport,tran,Bus,bus,tran,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,car_rental ,Mf node.png Mf area.png ,Rent a car ,Y,Points of Interest,pois,"Services, banks, post offices",ser,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,car_sharing ,Mf node.png Mf area.png ,Share a car ,N,Points of Interest,pois,"Services, banks, post offices",ser,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,car_wash ,Mf node.png Mf area.png ,Wash a car ,N,Points of Interest,pois,"Services, banks, post offices",ser,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,ev_charging ,Mf node.png ,"Electric vehicle charging facility. Don't use, amenity=charging_station is preferred. ",N,Points of Interest,pois,"Services, banks, post offices",ser,#N/A,Node ,pt ,pt,#N/A,#N/A,#N/A
amenity ,charging_station ,Mf node.png ,Charging facility for electric vehicles ,N,Points of Interest,pois,"Services, banks, post offices",ser,#N/A,Node ,pt ,pt,#N/A,#N/A,#N/A
amenity ,ferry_terminal ,Mf node.png Mf area.png ,Ferry terminal/stop. A place where people/cars/etc. can board and leave a ferry. ,Y,Transport,tran,Seaport,sea,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,fuel ,Mf node.png Mf area.png ,Petrol station; gas station; marine fuel; … Streets to petrol stations are often tagged highway=service. ,Y,Utilities,util,Fuel depot,fue,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,grit_bin ,Mf node.png ,A container that holds grit or a mixture of salt and grit. ,N,Transport,tran,Highway,hwy,#N/A,Node ,pt ,pt,#N/A,#N/A,#N/A
amenity ,parking ,Mf node.png Mf area.png ,Car park. Nodes and areas (without access tag) will get a parking symbol. Areas will be colored. Streets on car parking are often tagged highway=service and service=parking_aisle. ,Y,Transport,tran,Highway,hwy,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,parking_entrance ,Mf node.png ,An entrance or exit to an underground or multi-storey parking facility. Group multiple parking entrances together with a relation using the tags type=site and site=parking.Do not mix with amenity=parking. ,Y,Transport,tran,Highway,hwy,#N/A,Node ,pt ,pt,#N/A,#N/A,#N/A
amenity ,parking_space ,Mf node.png Mf area.png ,A single parking space. Group multiple parking spaces together with a relation using the tags type=site and site=parking.Do not mix with amenity=parking. ,Y,Transport,tran,Highway,hwy,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,taxi ,Mf node.png Mf area.png ,A place where taxis wait for passengers. ,Y,Points of Interest,pois,"Services, banks, post offices",ser,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,atm ,Mf node.png ,an ATM or cash point ,Y,Points of Interest,pois,"Services, banks, post offices",ser,#N/A,Node ,pt ,pt,#N/A,#N/A,#N/A
amenity ,bank ,Mf node.png Mf area.png ,"a bank (for a bank that also has an ATM, it is preferred that a separate node for each ATM is added) ",Y,Points of Interest,pois,"Services, banks, post offices",ser,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,bureau_de_change ,Mf node.png ,"Bureau de change, currency exchange, Wechsel, cambio - a place to change foreign bank notes and travellers cheques ",Y,Points of Interest,pois,"Services, banks, post offices",ser,#N/A,Node ,pt ,pt,#N/A,#N/A,#N/A
amenity ,baby_hatch ,Mf node.png Mf area.png ,A place where you can drop a baby anonymously for adoption ,N,Points of Interest,pois,"Services, banks, post offices",ser,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,clinic ,Mf node.png Mf area.png ,A medium-sized medical facility or health centre. ,Y,Health ,heal,Hospitals / Medical Centres,hos,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,dentist ,Mf node.png Mf area.png ,A dentist practice / surgery. ,Y,Health ,heal,Hospitals / Medical Centres,hos,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,doctors ,Mf node.png Mf area.png ,A doctors' practice / surgery. ,Y,Health ,heal,Hospitals / Medical Centres,hos,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,hospital ,Mf node.png Mf area.png ,Often used in conjunction with emergency=* to note whether or not the hospital has emergency facilities (A&E (brit.) or ER (am.)) ,Y,Health ,heal,Hospitals / Medical Centres,hos,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,nursing_home ,Mf node.png Mf area.png ,A home for disabled or elderly persons who need permanent care. See social_facility=* for more details. ,Y,Health ,heal,Hospitals / Medical Centres,hos,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,pharmacy ,Mf node.png Mf area.png ,Pharmacy,Y,Health ,heal,Hospitals / Medical Centres,hos,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,social_facility ,Mf node.png Mf area.png ,A facility that provides social services. ,Y,Points of Interest,pois,"Services, banks, post offices",ser,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,veterinary ,Mf node.png Mf area.png ,A place where a veterinary surgeon (vet) practices. ,Y,Points of Interest,pois,Animal,ani,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,arts_centre ,Mf node.png Mf area.png ,A venue where a variety of arts are performed or conducted ,Y,Points of Interest,pois,Leisure,les,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,brothel ,Mf node.png Mf area.png ,An establishment specifically dedicated to prostitution ,N,Points of Interest,pois,Leisure,les,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,cinema ,Mf node.png Mf area.png ,A place where films are shown (US: movie theater) ,Y,Points of Interest,pois,Leisure,les,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,community_centre ,Mf node.png Mf area.png ,A place mostly used for local events and festivities. ,Y,Points of Interest,pois,Leisure,les,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,fountain ,Mf node.png Mf area.png ,A fountain for cultural / decorational / recreational purposes. ,Y,Points of Interest,pois,Leisure,les,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,nightclub ,Mf node.png Mf area.png ,"A place to drink and dance (nightclub). The german word is ""Disco"" or ""Discothek"". Please don't confuse this with the german ""Nachtclub"" wich is most likely amenity=stripclub. ",Y,Points of Interest,pois,Leisure,les,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,social_centre ,Mf node.png Mf area.png ,A place for free and not-for-profit activities. ,Y,Points of Interest,pois,Leisure,les,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,stripclub ,Mf node.png ,A place that offers striptease or lapdancing (for sexual services use amenity=brothel). ,N,Points of Interest,pois,Leisure,les,#N/A,Node ,pt ,pt,#N/A,#N/A,#N/A
amenity ,studio ,Mf node.png Mf area.png ,TV radio or recording studio ,N,Points of Interest,pois,Leisure,les,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,swingerclub ,Mf node.png Mf area.png ,A club where people meet to have a party and group sex. ,N,Points of Interest,pois,Leisure,les,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,theatre ,Mf node.png Mf area.png ,A theatre or opera house ,Y,Points of Interest,pois,Leisure,les,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,animal_boarding ,Mf node.png Mf area.png ,"A facility where you, paying a fee, can bring your animal for a limited period of time (e.g. for holidays) ",N,Points of Interest,pois,Animal,ani,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,animal_shelter ,Mf node.png Mf area.png ,A shelter that recovers animals in trouble ,N,Points of Interest,pois,Animal,ani,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,bench ,Mf node.png ,A bench to sit down and relax a bit ,N,Points of Interest,pois,Leisure,les,#N/A,Node ,pt ,pt,#N/A,#N/A,#N/A
amenity ,clock ,Mf node.png ,A public visible clock ,N,Points of Interest,pois,Leisure,les,#N/A,Node ,pt ,pt,#N/A,#N/A,#N/A
amenity ,courthouse ,Mf node.png Mf area.png ,A place where justice is dispensed ,Y,Points of Interest,pois,Government buildings,gov,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,crematorium ,Mf node.png Mf area.png ,A place where dead human bodies are burnt ,Y,Utilities,util,Morgue and location for storage of dead,mor,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,crypt ,Mf node.png Mf area.png ,"It is a stone chamber or vault beneath the floor of a burial vault possibly containing sarcophagi, coffins or relics. ",Y,Points of Interest,pois,Religious,rel,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,dojo ,Mf node.png Mf area.png ,Training place for any of the Japanese arts. ,N,Points of Interest,pois,Leisure,les,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,embassy ,Mf node.png Mf area.png ,An embassy ,Y,Points of Interest,pois,Government buildings,gov,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,fire_station ,Mf node.png Mf area.png ,A fire station ,Y,Utilities,util,"Rescue services, coast guards",rsq,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,firepit ,Node Area ,"Deprecated. For campfires and firepits, see Tag:leisure=firepit ",N,Points of Interest,pois,Leisure,les,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,grave_yard ,Mf node.png Mf area.png ,"A (smaller) place of burial, often you'll find a church nearby. Large places should be landuse=cemetery instead. ",Y,Early Recovery ,rcvy,Cemetery,cem,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,gym ,Mf node.png Mf area.png ,It's recommended to not use this tag as it's ambiguous. See leisure=sport_centre or sport=gymnastics ,N,Points of Interest,pois,Leisure,les,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,hunting_stand ,Mf node.png Mf area.png ,A hunting stand ,N,Points of Interest,pois,Leisure,les,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,marketplace ,Mf way.png Mf area.png ,"A place where trade is regulated, e.g. a square. ",Y,Points of Interest,pois,"Services, banks, post offices",ser,#N/A,Way Area ,ln py ,#N/A,ln,py,#N/A
amenity ,place_of_worship ,Mf node.png Mf area.png ,"A church, mosque, or temple, etc. Note that you also need religion=*, usually denomination=* and preferably name=* as well as amenity=place_of_worship. See the article for details. ",Y,Points of Interest,pois,Religious,rel,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,police ,Mf node.png Mf area.png ,A police station ,Y,Utilities,util,"Police, prisons, law inforcement",law,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,post_box ,Mf node.png ,Alternative mail-carriers can be tagged via operator=* ,Y,Utilities,util,"Communication structures, radio/ tv stations, Internet Access, Telephone",com,#N/A,Node ,pt ,pt,#N/A,#N/A,#N/A
amenity ,post_office ,Mf node.png Mf area.png ,Post office building with postal services ,Y,Points of Interest,pois,"Services, banks, post offices",ser,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,prison ,Mf node.png Mf area.png ,A prison ,Y,Utilities,util,"Police, prisons, law inforcement",law,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,public_building ,Mf node.png Mf area.png ,A generic public building. Don't use! See building=public ,Y,LandUse,land,Buildings,bld,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,ranger_station ,Mf node.png Mf area.png ,National Park Visitor Headquarters ,Y,Points of Interest,pois,Offices,off,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,recycling ,Mf node.png Mf area.png ,Recycling facilities (bottle banks etc.). Combine with recycling_type=container for containers or recycling_type=centre for recycling centres. ,Y,Utilities,util,"Sanitation, waste facilities, landfill",san,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,sauna ,Mf node.png Mf area.png ,A small room or house to experience dry or wet heat sessions. ,N,Points of Interest,pois,Leisure,les,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,shelter ,Mf node.png Mf area.png ,A small shelter against bad weather conditions. To additionally describe the kind of shelter use shelter_type=*. ,Y,Emergency Shelter,shel,Shelter,shl,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,shower ,Mf node.png Mf area.png ,Public shower or bath. ,Y,Water Sanitation and Hygiene,wash,Water and sanitation,wes,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,telephone ,Mf node.png ,Public telephone ,Y,Utilities,util,"Communication structures, radio/ tv stations, Internet Access, Telephone",com,#N/A,Node ,pt ,pt,#N/A,#N/A,#N/A
amenity ,toilets ,Mf node.png Mf area.png ,Public toilets (might require a fee) ,Y,Utilities,util,"Sanitation, waste facilities, landfill",san,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,townhall ,Mf node.png Mf area.png ,"Building where the administration of a village, town or city may be located, or just a community meeting place ",Y,Points of Interest,pois,Government buildings,gov,#N/A,Node Area ,pt py ,pt,#N/A,py,#N/A
amenity ,vending_machine ,Mf node.png ,"A machine selling goods – food, tickets, newspapers, etc. Add type of goods using vending=* ",Y,Points of Interest,pois,"Services, banks, post offices",ser,#N/A,Node ,pt ,pt,#N/A,#N/A,#N/A
amenity ,waste_disposal ,Mf node.png ,"A place where canal boaters, caravaners etc. can dispose of rubbish (trash/waste). ",Y,Utilities,util,"Sanitation, waste facilities, landfill",san,#N/A,Node ,pt ,pt,#N/A,#N/A,#N/A
amenity ,watering_place ,Mf node.png ,Place where water is contained and animals can drink ,Y,Points of Interest,pois,Animal,ani,#N/A,Node ,pt ,pt,#N/A,#N/A,#N/A
amenity ,user defined ,Mf node.png Mf way.png Mf area.png ,All commonly used values according to Taginfo,Y,Points of Interest,pois,"Services, banks, post offices",ser,#N/A,Node Way Area ,pt ln py ,pt,ln,py,#N/A
barrier ,city_wall ,Way Area ,A fortification used to defend a city or settlement from potential aggressors.,Y,Transport,tran,"Gates, Barriers",gat,#N/A,Way Area ,ln py ,#N/A,ln,py,#N/A
barrier ,ditch ,Way Area ,"A trench, ditch or ravine, usually with a stream at the bottom, that is not easily crossed, especially if not on foot.",Y,Transport,tran,"Gates, Barriers",gat,#N/A,Way Area ,ln py ,#N/A,ln,py,#N/A
barrier ,fence ,Way Area ,A structure supported by posts driven into the ground and designed to prevent movement across a boundary. It is distinguished from a wall by the lightness of its construction. Use fence_type=* to add details. ,Y,Transport,tran,"Gates, Barriers",gat,#N/A,Way Area ,ln py ,#N/A,ln,py,#N/A
barrier ,guard_rail ,Way ,"A guard_rail, also called a crash barrier. Right side is inner, left side is outer. ",Y,Transport,tran,"Gates, Barriers",gat,#N/A,Way ,ln ,#N/A,ln,#N/A,#N/A
barrier ,hedge ,Way Area ,"is a line of closely spaced shrubs and bushes, planted and trained in such a way as to form a barrier or to mark the boundary of an area. ",Y,Transport,tran,"Gates, Barriers",gat,#N/A,Way Area ,ln py ,#N/A,ln,py,#N/A
barrier ,kerb ,Node Way ,"A (for example footway) kerb is a barrier for vehicles and wheelchair drivers. The height of the kerb is important and with this information, the usage by different groups can be determined. The height of the kerb is tagged additionally as height=*, if available. Right side is bottom, left side is top. ",N,Transport,tran,"Gates, Barriers",gat,#N/A,Node Way ,pt ln ,pt,ln,#N/A,#N/A
barrier ,retaining_wall ,Way Area ,"Retaining walls serve to retain the lateral pressure of soil. Right side is bottom, left side is top. ",Y,Transport,tran,"Gates, Barriers",gat,#N/A,Way Area ,ln py ,#N/A,ln,py,#N/A
barrier ,wall ,Way Area ,"a freestanding solid structure designed to restrict or prevent movement across a boundary. Usually made from solid brick, concrete or stone and almost always built so that it is opaque to vision. ",Y,Transport,tran,"Gates, Barriers",gat,#N/A,Way Area ,ln py ,#N/A,ln,py,#N/A
barrier ,block ,Node ,"A large, solid, immobile block that can be moved only with heavy machinery or great effort.",N,Transport,tran,"Gates, Barriers",gat,#N/A,Node ,pt ,pt,#N/A,#N/A,#N/A
barrier ,bollard ,Node Way ,solid (usually concrete or metal) pillar or pillars in the middle of the road to prevent passage by some traffic. ,Y,Transport,tran,"Gates, Barriers",gat,#N/A,Node Way ,pt ln ,pt,ln,#N/A,#N/A
barrier ,border_control ,Node ,This is a control point at an international border between two countries. Passports or other forms of ID will be checked. ,Y,Transport,tran,"Gates, Barriers",gat,#N/A,Node ,pt ,pt,#N/A,#N/A,#N/A
barrier ,bump_gate ,Node ,See wikipedia:Bump gate ,N,Transport,tran,"Gates, Barriers",gat,#N/A,Node ,pt ,pt,#N/A,#N/A,#N/A
barrier ,bus_trap ,Node ,See wikipedia:Bus trap ,N,Transport,tran,Bus,bus,tran,Node ,pt ,pt,#N/A,#N/A,#N/A
barrier ,cattle_grid ,Node ,Bars in the road surface that allow wheeled vehicles but not animals to cross.,Y,Transport,tran,"Gates, Barriers",gat,#N/A,Node ,pt ,pt,#N/A,#N/A,#N/A
barrier ,chain ,Node ,A chain used to prevent motorised vehicles. ,N,Transport,tran,"Gates, Barriers",gat,#N/A,Node ,pt ,pt,#N/A,#N/A,#N/A
barrier ,cycle_barrier ,Node ,"Barriers to bicycle traffic, most typically a pair of staggered steel bars perpendicular to the way itself whose gaps allow pedestrians to pass. ",N,Transport,tran,"Gates, Barriers",gat,#N/A,Node ,pt ,pt,#N/A,#N/A,#N/A
barrier ,debris ,Node ,A road is blocked by debris with or without ground. This might be for short or long time. Often used as first step in blocking an abandoned road. The photo does not display the road after the debris because it was a slope road and the photo was taken on the top. ,Y,Transport,tran,Road,rds,#N/A,Node ,pt ,pt,#N/A,#N/A,#N/A
barrier ,entrance ,Node ,A gap in a linear barrier with nothing that limits passing through.,Y,Transport,tran,"Gates, Barriers",gat,#N/A,Node ,pt ,pt,#N/A,#N/A,#N/A
barrier ,full-height_turnstile ,Node ,"A full-height turnstile, also called HEET-turnstile (High Entrance/Exit Turnstile), like the ones to access security areas. Note the mix of hyphen and underscore. ",N,Transport,tran,"Gates, Barriers",gat,#N/A,Node ,pt ,pt,#N/A,#N/A,#N/A
barrier ,gate ,Node Way ,An entrance that can be opened or closed to get through the barrier.,Y,Transport,tran,"Gates, Barriers",gat,#N/A,Node Way ,pt ln ,pt,ln,#N/A,#N/A
barrier ,horse_stile ,Node ,"A horse stile allows pedestrians and horses to cross a gap through a fence, but prevents or makes it very difficult for motorcycles and live stock to cross. ",N,Transport,tran,"Gates, Barriers",gat,#N/A,Node ,pt ,pt,#N/A,#N/A,#N/A
barrier ,jersey_barrier ,Node Way ,A jersey barrier consists of heavy prefabricated blocks to create a barrier. Use material=plastic or material=concrete to express the used material. ,Y,Transport,tran,"Gates, Barriers",gat,#N/A,Node Way ,pt ln ,pt,ln,#N/A,#N/A
barrier ,kent_carriage_gap ,Node ,A Kent carriage gap is used by local authorities in the UK to prevent motorised vehicles from accessing public rights of way whilst allowing most horse drawn carriages to pass.,N,Transport,tran,"Gates, Barriers",gat,#N/A,Node ,pt ,pt,#N/A,#N/A,#N/A
barrier ,kissing_gate ,Node ,"A gate which allows people to cross, but not livestock. ",N,Transport,tran,"Gates, Barriers",gat,#N/A,Node ,pt ,pt,#N/A,#N/A,#N/A
